time,open,high,low,close,tick_volume
2021-06-07 10:00:00,1884.58,1885.37,1882.77,1884.27,7545
2021-06-07 11:00:00,1884.24,1887.01,1883.96,1884.74,7348
2021-06-07 12:00:00,1884.69,1888.23,1884.69,1887.15,9000
2021-06-07 13:00:00,1887.18,1887.3,1884.56,1887.13,11208
2021-06-07 14:00:00,1887.11,1891.05,1885.93,1888.63,19636
2021-06-07 15:00:00,1888.64,1893.19,1887.62,1891.88,18573
2021-06-07 16:00:00,1891.85,1894.65,1891.72,1894.04,12248
2021-06-07 17:00:00,1894.02,1895.61,1894.02,1894.99,7528
2021-06-07 18:00:00,1895.05,1898.16,1894.71,1897.64,8135
2021-06-07 19:00:00,1897.61,1899.92,1897.61,1898.82,6521
2021-06-07 20:00:00,1898.84,1900.0,1897.71,1899.75,5468
2021-06-07 21:00:00,1899.76,1900.06,1898.51,1898.87,2534
2021-06-07 23:00:00,1898.56,1899.32,1898.32,1898.61,1830
2021-06-08 00:00:00,1898.6,1899.47,1898.25,1898.69,1760
2021-06-08 01:00:00,1898.67,1901.45,1898.62,1901.45,4338
2021-06-08 02:00:00,1901.44,1903.29,1897.94,1898.0,9650
2021-06-08 03:00:00,1898.0,1898.93,1895.99,1896.2,8138
2021-06-08 04:00:00,1896.2,1897.31,1895.57,1895.91,5770
2021-06-08 05:00:00,1895.91,1897.17,1895.16,1897.04,3708
2021-06-08 06:00:00,1896.98,1898.42,1894.8,1894.98,7186
2021-06-08 07:00:00,1894.98,1897.39,1894.39,1896.41,9805
2021-06-08 08:00:00,1896.39,1898.23,1892.44,1892.57,11325
2021-06-08 09:00:00,1892.64,1893.44,1889.66,1892.55,12311
2021-06-08 10:00:00,1892.46,1893.71,1890.46,1892.43,8258
2021-06-08 11:00:00,1892.45,1895.6,1891.13,1894.32,12065
2021-06-08 12:00:00,1894.32,1900.11,1893.89,1900.0,9808
2021-06-08 13:00:00,1899.92,1903.67,1889.79,1892.99,17825
2021-06-08 14:00:00,1892.99,1895.75,1883.73,1887.9,20085
2021-06-08 15:00:00,1887.85,1896.22,1886.94,1894.64,18073
2021-06-08 16:00:00,1894.64,1894.94,1890.71,1891.15,11323
2021-06-08 17:00:00,1891.15,1893.28,1890.75,1892.33,9267
2021-06-08 18:00:00,1892.34,1893.39,1891.49,1892.57,7889
2021-06-08 19:00:00,1892.58,1893.95,1891.78,1893.18,6155
2021-06-08 20:00:00,1893.14,1893.77,1892.12,1893.46,4598
2021-06-08 21:00:00,1893.39,1893.52,1892.66,1892.72,2026
